Precision,Recall,F-Score
1,0.421052631578947,0.592592592592592
0.032258064516129,0.006802721088435,0.01123595505618
1,0.335849056603774,0.502824858757062
1,0.209677419354839,0.346666666666667
0,0,0
0.632432432432432,0.269585253456221,0.378029079159935
1,0.158490566037736,0.273615635179153
1,0.493617021276596,0.660968660968661
0.449339207048458,0.610778443113772,0.517766497461929
1,0.129166666666667,0.228782287822878
0.818548387096774,1,0.900221729490022
0.927083333333333,1,0.962162162162162
1,0.412162162162162,0.583732057416268
0.541284403669725,1,0.702380952380952
1,0.568421052631579,0.724832214765101
1,0.5,0.666666666666667
0.584905660377358,0.338181818181818,0.428571428571429
0.52970297029703,1,0.692556634304207
0.529776674937965,1,0.692619626926196
0.164705882352941,1,0.282828282828283
1,0.274285714285714,0.430493273542601
1,0.202061855670103,0.336192109777015
1,0.041499330655957,0.079691516709512
1,0.727272727272727,0.842105263157895
1,0.522727272727273,0.686567164179104
0,0,0
0.962059620596206,0.718623481781376,0.82271147161066
1,0.315384615384615,0.47953216374269
1,0.130097087378641,0.230240549828179
1,0.569659442724458,0.725838264299803
0,0,0
1,0.50952380952381,0.675078864353312
0,0,0
1,0.221052631578947,0.362068965517241
1,0.264705882352941,0.418604651162791
0,0,0
1,0.404166666666667,0.57566765578635
0.728301886792453,0.784552845528455,0.755381604696673
1,0.392682926829268,0.563922942206655
1,0.123839009287926,0.220385674931129
1,0.57843137254902,0.732919254658385
0.122950819672131,1,0.218978102189781
0.26890756302521,1,0.423841059602649
1,0.110410094637224,0.198863636363636
0.688622754491018,1,0.815602836879433
1,0.113924050632911,0.204545454545455
0,0,0
1,0.523529411764706,0.687258687258687
0.813253012048193,1,0.897009966777409
0.396551724137931,1,0.567901234567901
1,0.075268817204301,0.14
1,0.520833333333333,0.684931506849315
0,0,0
0,0,0
0,0,0
0.94059405940594,1,0.969387755102041
1,0.391304347826087,0.5625
0,0,0
1,0.188679245283019,0.317460317460317
0.291793313069909,0.145454545454545,0.194135490394338
0,0,0
0.215686274509804,0.316091954022988,0.256410256410256
0,0,0
0.517241379310345,1,0.681818181818182
0,0,0
0.245901639344262,1,0.394736842105263
1,0.779220779220779,0.875912408759124
0.253623188405797,0.194444444444444,0.220125786163522
1,0.114973262032086,0.206235011990408
0.94769442532691,1,0.973144876325088
0.941834451901566,0.890063424947146,0.915217391304348
1,0.62,0.765432098765432
1,0.274509803921569,0.430769230769231
0.633507853403141,0.849122807017544,0.725637181409295
1,0.395569620253165,0.566893424036281
1,0.566666666666667,0.723404255319149
1,0.377777777777778,0.548387096774194
1,0.316666666666667,0.481012658227848
0.793859649122807,1,0.885085574572127
0.557251908396947,1,0.715686274509804
0.194174757281553,1,0.32520325203252
1,0.4140625,0.585635359116022
1,0.406451612903226,0.577981651376147
1,0.13986013986014,0.245398773006135
0.486555697823303,1,0.654608096468561
0.175824175824176,0.040506329113924,0.065843621399177
0.635838150289017,0.514018691588785,0.568475452196382
0.784313725490196,1,0.879120879120879
1,0.148063781321185,0.257936507936508
0.440140845070423,0.595238095238095,0.506072874493927
0,0,0
0.16260162601626,0.3125,0.213903743315508
1,0.633333333333333,0.775510204081633
0.947042640990371,1,0.972801130342635
1,0.359437751004016,0.528803545051699
0.666666666666667,1,0.8
