Precision,Recall,F-Score
0.897920604914934,1,0.946215139442231
0.787234042553192,0.755102040816326,0.770833333333333
1,0.335849056603774,0.502824858757062
1,0.209677419354839,0.346666666666667
0,0,0
0.717741935483871,0.820276497695853,0.765591397849462
1,0.158490566037736,0.273615635179153
1,0.957446808510638,0.978260869565217
0.259259259259259,0.083832335329341,0.126696832579186
1,0.825,0.904109589041096
0.52319587628866,1,0.686971235194585
0.927083333333333,1,0.962162162162162
1,0.412162162162162,0.583732057416268
0.337142857142857,1,0.504273504273504
1,0.578947368421052,0.733333333333333
1,0.5,0.666666666666667
0.584905660377358,0.338181818181818,0.428571428571429
0.527093596059113,1,0.690322580645161
0.088607594936709,0.475409836065574,0.149374540103017
0.140845070422535,1,0.246913580246914
1,0.276190476190476,0.432835820895522
1,0.202061855670103,0.336192109777015
1,0.547523427041499,0.707612456747405
1,0.363636363636364,0.533333333333333
1,0.177272727272727,0.301158301158301
0,0,0
0.968957871396896,0.884615384615385,0.924867724867725
1,0.315384615384615,0.47953216374269
0.784148397976391,0.902912621359223,0.839350180505415
1,0.31578947368421,0.48
0.672782874617737,0.611111111111111,0.640465793304221
0.521091811414392,1,0.685154975530179
0,0,0
1,0.221052631578947,0.362068965517241
1,0.216176470588235,0.355501813784764
0,0,0
1,0.1375,0.241758241758242
0.773584905660377,1,0.872340425531915
1,0.1,0.181818181818182
1,0.126934984520124,0.225274725274725
1,0.682352941176471,0.811188811188811
0.130813953488372,1,0.231362467866324
0.232558139534884,1,0.377358490566038
1,0.369085173501577,0.539170506912442
0.476190476190476,1,0.645161290322581
1,0.113924050632911,0.204545454545455
0.117117117117117,0.040247678018576,0.059907834101382
1,0.523529411764706,0.687258687258687
0.838509316770186,1,0.912162162162162
0.396551724137931,1,0.567901234567901
0.850877192982456,0.208602150537634,0.335060449050086
0.734767025089606,0.610119047619048,0.666666666666667
0,0,0
0,0,0
0,0,0
0.94059405940594,1,0.969387755102041
1,0.395652173913044,0.566978193146417
0,0,0
1,0.188679245283019,0.317460317460317
1,0.451515151515152,0.622129436325679
0.585034013605442,1,0.738197424892704
0.560150375939849,0.85632183908046,0.677272727272727
0,0,0
0.316804407713499,0.425925925925926,0.363349131121643
0.323863636363636,0.926829268292683,0.48
0.245901639344262,1,0.394736842105263
1,0.393506493506493,0.564771668219944
0.253623188405797,0.194444444444444,0.220125786163522
0.76657060518732,0.711229946524064,0.737864077669903
0.982869379014989,1,0.991360691144708
0.362093352192362,0.54122621564482,0.433898305084746
1,0.1725,0.294243070362473
1,0.392156862745098,0.563380281690141
0.633507853403141,0.849122807017544,0.725637181409295
0.648148148148148,0.664556962025316,0.65625
0.740890688259109,0.871428571428571,0.800875273522976
1,0.377777777777778,0.548387096774194
1,0.641666666666667,0.781725888324873
0.793859649122807,1,0.885085574572127
0.873362445414847,0.91324200913242,0.892857142857143
0.194174757281553,1,0.32520325203252
1,0.8359375,0.91063829787234
1,0.219354838709677,0.35978835978836
1,0.13986013986014,0.245398773006135
0,0,0
0.032520325203252,0.030379746835443,0.031413612565445
0.772563176895307,1,0.871690427698574
0.784313725490196,1,0.879120879120879
1,0.501138952164009,0.667678300455235
0,0,0
0.576227390180879,0.437254901960784,0.497212931995541
0.220726783310902,0.854166666666667,0.350802139037433
1,0.564444444444444,0.721590909090909
0.982168330955777,1,0.991003958258366
1,0.359437751004016,0.528803545051699
0.891089108910891,1,0.942408376963351
